condition_grouper_name,condition_grouper_canonical_url,condition_grouper_version,coverage_level,coverage_reason,coverage_date,rsg_count,rsgs,acg_count,acgs,unresolved_count,unresolved_refs,total_rsg_codes,total_acg_codes,total_codes_in_cg,expansion_code_count,expansion_vs_composition
Fetal Alcohol Spectrum Disorders,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9f3c8366-a0b5-4256-bbe5-16ce332e439a,6.0.0,,,,1,609437000 Fetal Alcohol Spectrum Disorders (69 codes),0,,0,,69,0,69,69,match
Galactosemia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/27bcaeb2-ac39-4967-a1c1-e65c964789fa,6.0.0,,,,1,190745006 Galactosemia (74 codes),0,,0,,74,0,74,74,match
Gastroschisis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/bdf59f98-0f6a-4960-a784-f900ba65041a,6.0.0,,,,1,72951007 Gastroschisis (5 codes),0,,0,,5,0,5,5,match
Genital Warts,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d10b003e-be39-45ac-ae41-3490aee18f5e,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,266113007 Genital Warts (16 codes),1,Genital Warts Additional Context Medication Codes (52 codes),0,,16,52,68,68,match
Giardiasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/07bd2637-db14-4061-8be9-169a480966ee,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,58265007 Giardiasis (672 codes),2,Giardiasis Additional Context Medication Codes (275 codes) | Giardiasis Additional Context Symptom Codes (71 codes),0,,672,346,1018,1018,match
Glanders,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0ef52922-ed1c-4335-8b72-1d2484021421,6.0.0,,,,1,4639008 Glanders (468 codes),0,,0,,468,0,468,468,match
Gonorrhea,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d5624804-b7a3-44e9-8d81-17bb48162304,6.0.0,complete,,2025-10-01T00:00:00-06:00,1,15628003 Gonorrhea (1186 codes),5,Gonorrhea Additional Context Clinical Lab Result Codes (3449 codes) | Gonorrhea Additional Context Symptom Codes (2068 codes) | Gonorrhea Additional Context Diagnosis Codes (2171 codes) | Gonorrhea Additional Context Specimen Source Codes (8 codes) | Gonorrhea Additional Context Medication Codes (1779 codes),0,,1186,9475,10639,10639,match
Granuloma Inguinale (Donovanosis),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e920d507-f8d0-4d7a-8783-d2798d97e3eb,6.0.0,,,,1,28867007 Granuloma Inguinale (Donovanosis) (532 codes),0,,0,,532,0,532,532,match
Guillain-Barré Syndrome,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/406dc3d3-176c-452f-99ac-1842b0d960ea,6.0.0,,,,1,40956001 Guillain-Barré Syndrome (128 codes),0,,0,,128,0,128,128,match
Gunshot Wound,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0d9f5e2a-c8d2-47ae-bb03-2261fc06a65e,6.0.0,,,,1,283545005 Firearm-related injury (244 codes),0,,0,,244,0,244,244,match
HIV Infection or AIDS,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e97e6fbb-3f25-41cb-ad9e-a165036ef845,6.0.0,complete,,2025-10-01T00:00:00-06:00,2,86406008 HIV Infection or AIDS (1229 codes) | 76981000119106 HIV Infection or AIDS (836 codes),3,HIV Infection or AIDS Additional Context Diagnosis Codes (3149 codes) | HIV Infection or AIDS Additional Context Clinical Lab Result Codes (4127 codes) | HIV Infection or AIDS Additional Context Symptom Codes (1156 codes),0,,1229,8431,9626,9626,match
Hansen's disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/8a086d13-b6fd-4d7e-b202-fcb0564d3c02,6.0.0,,,,1,81004002 Hansen's disease (1125 codes),0,,0,,1125,0,1125,1125,match
Hantavirus Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c50a7a39-3a43-445a-992a-a8f857473d23,6.0.0,,,,1,359761005 Hantavirus Infection (349 codes),0,,0,,349,0,349,349,match
Head Injury,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/8f0541ec-9429-4449-be67-0a0f7e6fd61c,6.0.0,,,,1,82271004 Head Injury (2198 codes),0,,0,,2198,0,2198,2198,match
Hepatitis A Virus infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/42dfdcb0-928d-430f-a95c-33caf5874a96,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,40468003 Hepatitis A Virus Infection (521 codes),5,Hepatitis A Virus infection Additional Context Immunization Codes (52 codes) | Hepatitis A Virus infection Additional Context Medication Codes (21 codes) | Hepatitis A Virus infection Additional Context Symptom Codes (19 codes) | Hepatitis A Virus infection Additional Context Specimen Source Codes (6 codes) | Hepatitis A Virus infection Additional Context Clinical Lab Result Codes (3 codes),0,,521,101,622,622,match
Hepatitis B,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ceea7958-2eb3-44d2-8bfc-e74631f20cc5,6.0.0,complete,,2025-06-04T00:00:00-06:00,2,"60498001 Hepatitis B Virus Infection, Perinatal (280 codes) | 66071002 Hepatitis B Virus Infection (863 codes)",6,Hepatitis B Additional Context Diagnosis Codes (3139 codes) | Hepatitis B Additional Context Clinical Lab Result Codes (3525 codes) | Hepatitis B Additional Context Specimen Source Codes (6 codes) | Hepatitis B Additional Context Symptom Codes (491 codes) | Hepatitis B Additional Context Medication Codes (267 codes) | Hepatitis B Additional Context Immunization Codes (131 codes),0,,882,7559,7855,7855,match
Hepatitis C,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9bbc181b-f37a-49a6-9af4-4bc9478cb548,6.0.0,complete,,2025-06-04T00:00:00-06:00,3,"128302006 Hepatitis C Virus Infection (261 codes) | 50711007 Hepatitis C Virus Infection (900 codes) | 551611000124101 Hepatitis C Virus Infection, Perinatal (238 codes)",5,Hepatitis C Additional Context Clinical Lab Result Codes (3525 codes) | Hepatitis C Additional Context Diagnosis Codes (3139 codes) | Hepatitis C Additional Context Medication Codes (194 codes) | Hepatitis C Additional Context Specimen Source Codes (4 codes) | Hepatitis C Additional Context Symptom Codes (491 codes),0,,900,7353,7673,7673,match
Hepatitis D Virus Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ec425eb5-d8a0-4228-b9d4-d5c0e01b318e,6.0.0,,,,1,707341005 Hepatitis D Virus Infection (284 codes),0,,0,,284,0,284,284,match
Hepatitis E Virus infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/8010e398-244a-48f9-a21c-f2f191831149,6.0.0,,,,1,7111000119109 Hepatitis E Virus Infection (99 codes),0,,0,,99,0,99,99,match
Hepatitis G Virus Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d922d010-fe2a-417d-a70a-e1abc0f73985,6.0.0,,,,1,397575003 Hepatitis G Virus Infection (73 codes),0,,0,,73,0,73,73,match
Herpes,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/b0a00fd7-fae5-4e3e-b7a6-171028d2f777,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,2,"33839006 Herpes, Genital (673 codes) | 91576008 Herpes, Neonatal (598 codes)",1,Herpes Additional Context Medication Codes (98 codes),0,,683,98,781,781,match
Histoplasmosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/3c779e64-dc72-48ba-ab18-d84736268664,6.0.0,,,,1,12962009 Histoplasmosis (1385 codes),0,,0,,1385,0,1385,1385,match
Homocystinuria,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e1e2273c-97a6-4224-aad3-5946fa616d44,6.0.0,,,,1,11282001 Homocystinuria (128 codes),0,,0,,128,0,128,128,match
Hypoplastic Left Heart Syndrome (HLHS),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/4cf5cf0e-28a0-4b62-bcc0-00f242a6421d,6.0.0,,,,1,62067003 Hypoplastic Left Heart Syndrome (HLHS) (4 codes),0,,0,,4,0,4,4,match
Hypospadias,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/509107b3-10d5-4962-84ac-a0abace4844f,6.0.0,,,,1,416010008 Hypospadias (28 codes),0,,0,,28,0,28,28,match
Infant Hearing Loss,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/50d27f7d-2e15-4352-903d-c96f64cc0bcc,6.0.0,,,,1,95821001 Infant Hearing Loss (277 codes),0,,0,,277,0,277,277,match
Influenza,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/38475891-387a-4fa2-bbe9-1dc97ce415d1,6.0.0,complete,,2026-02-24T00:00:00-07:00,8,6142004 Influenza-associated pediatric mortality (922 codes) | 43692000 Influenza (920 codes) | 772828001 Novel Influenza A Virus Infections (609 codes) | 661761000124109 Influenza-Associated Mortality (1460 codes) | 719590007 Influenza-Associated Hospitalizations (1115 codes) | 541131000124102 Novel Influenza A Virus Infection (1508 codes) | 725894000 Influenza-Associated Mortality (900 codes) | 95891005 Influenza-like Illness (ILI) (1066 codes),5,Influenza Additional Context Medication Codes (4542 codes) | Influenza Additional Context Diagnosis Codes (9566 codes) | Influenza Additional Context Immunization Codes (696 codes) | Influenza Context Clinical Lab Result Codes (183 codes) | Influenza Additional Context Symptom Codes (889 codes),0,,2357,15823,17110,17110,match
Interrupted Aortic Arch,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/6f4a526f-586d-466f-9f53-1bb0439de10d,6.0.0,,,,1,218728005 Interrupted Aortic Arch (12 codes),0,,0,,12,0,12,12,match
Invasive Cronobacter Infection Among Infants,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/80a4d37b-47da-47d4-939a-3e92bf0c9e01,6.0.0,,,,1,444664004 Invasive Cronobacter Infection Among Infants (681 codes),0,,0,,681,0,681,681,match
Invasive Haemophilus Influenzae Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/eaf217c9-b188-4472-9987-5f043067f7ae,6.0.0,complete,,2026-02-24T00:00:00-07:00,1,406583002 Invasive Haemophilus Influenzae Disease (942 codes),5,Invasive Haemophilus Influenzae Disease Additional Context Clinical Lab Result Codes (23 codes) | Invasive Haemophilus Influenzae Disease Additional Context Symptom Codes (2215 codes) | Invasive Haemophilus Influenzae Disease Additional Context Immunization Codes (99 codes) | Invasive Haemophilus Influenzae Disease Additional Context Medication Codes (5677 codes) | Invasive Haemophilus Influenzae Disease Additional Context Diagnosis Codes (10223 codes),0,,942,18202,19007,19007,match
Jamestown Canyon virus disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/254a4128-db51-4102-8178-c844f8510491,6.0.0,,,,1,41723001 Jamestown Canyon virus disease (500 codes),0,,0,,500,0,500,500,match
Japanese encephalitis virus (JEV) disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c95bdb5c-a034-4bc6-aa7c-a15f9b7eeeb3,6.0.0,,,,1,52947006 Japanese encephalitis virus (JEV) disease (485 codes),0,,0,,485,0,485,485,match
Kawasaki Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/407595a2-d507-4e80-9537-fd2a8a3b8cbc,6.0.0,,,,1,75053002 Kawasaki Disease (290 codes),0,,0,,290,0,290,290,match
Keystone virus disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c3391341-bb07-4fcf-bf45-6bbe2578c180,6.0.0,,,,1,404237007 Keystone virus disease (407 codes),0,,0,,407,0,407,407,match
La Crosse virus disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/2f2b4ce4-0edf-4300-9912-e35516fc8d10,6.0.0,,,,1,61094002 La Crosse virus disease (517 codes),0,,0,,517,0,517,517,match
Lead in Blood,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/f0922b13-4f11-4f59-82f9-8e650308f4fb,6.0.0,,,,1,407152001 Lead in Blood (759 codes),0,,0,,759,0,759,759,match
Legionellosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/8d474b49-983e-4ba9-8379-05dd8623faca,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,26726000 Legionellosis (670 codes),3,Legionellosis Additional Context Medication Codes (718 codes) | Legionellosis Additional Context Specimen Source Codes (3 codes) | Legionellosis Additional Context Symptom Codes (71 codes),0,,670,792,1462,1462,match
Leishmaniasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/3ccb96fe-f2c2-4a79-8fdd-6d66c1d8ca44,6.0.0,,,,1,80612004 Leishmaniasis (839 codes),0,,0,,839,0,839,839,match
Leptospirosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/41421125-e8b1-4048-ae24-0f26aa7de153,6.0.0,,,,1,77377001 Leptospirosis (2122 codes),0,,0,,2122,0,2122,2122,match
Limb Reduction,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/5eb5499c-9040-46be-8456-1bf86226b9df,6.0.0,,,,1,67341007 Limb Reduction (411 codes),0,,0,,411,0,411,411,match
Listeriosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/92969634-a5e7-47df-b3ac-4ec1ddf60541,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,4241002 Listeriosis (1280 codes),2,Listeriosis Additional Context Symptom Codes (90 codes) | Listeriosis Additional Context Specimen Source Codes (1 codes),0,,1280,91,1371,1371,match
Louse-borne relapsing fever (LBRF),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/98d18137-af40-4d1f-b080-89f4dd62a150,6.0.0,,,,1,14683004 Louse-borne relapsing fever (LBRF) (731 codes),0,,0,,731,0,731,731,match
Lyme disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/348f4787-0a54-4172-9f3e-f97808cc7972,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,23502006 Lyme Disease (688 codes),2,Lyme disease Additional Context Diagnosis Codes (2 codes) | Lyme disease Additional Context Symptom Codes (50 codes),0,,688,52,740,740,match
Lymphatic Filariasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/436c0c8d-8277-4ff7-bd51-86183aca29a3,6.0.0,,,,1,240820001 Lymphatic Filariasis (614 codes),0,,0,,614,0,614,614,match
Lymphocytic Choriomeningitis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/4d07bff3-c9a6-45c7-a533-049740ea330c,6.0.0,,,,1,721781004 Lymphocytic Choriomeningitis (541 codes),0,,0,,541,0,541,541,match
MIS,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/b4ea7ac2-a0dc-4ca0-9ab6-cad4b052b929,6.0.0,,,,2,1119306006 Multisystem Inflammatory Syndrome in Adults (MIS-A) (5 codes) | 895448002 Multisystem Inflammatory Syndrome in Children (MIS-C) (1136 codes),0,,0,,1136,0,1136,1136,match
Malaria,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/5b1be9bc-0c90-4e77-a558-2daa03f3bee9,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,61462000 Malaria (720 codes),2,Malaria Additional Context Symptom Codes (34 codes) | Malaria Additional Context Specimen Source Codes (1 codes),0,,720,35,755,755,match
Measles,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/a28a01e9-94ca-49ae-9010-0408b3409e22,6.0.0,complete,,2026-02-24T00:00:00-07:00,1,14189004 Measles (778 codes),5,Measles Additional Context Medication Codes (287 codes) | Measles Additional Context Clinical Lab Result Codes (173 codes) | Measles Additional Context Immunization Codes (45 codes) | Measles Additional Context Symptom Codes (1250 codes) | Measles Additional Context Diagnosis Codes (618 codes),0,,778,2344,2946,2946,match
Medium-chain Acyl-CoA Dehydrogenase Deficiency,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/139a2aba-41d7-4683-8d77-cdc22006448c,6.0.0,,,,1,128596003 Medium-chain Acyl-CoA Dehydrogenase Deficiency (48 codes),0,,0,,48,0,48,48,match
Melioidosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9c031608-c5f1-4dee-836e-3eaa8c153aa5,6.0.0,,,,1,428111003 Melioidosis (1187 codes),0,,0,,1187,0,1187,1187,match
Meningitis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/b3f526be-a585-41bd-884b-2c89b4fb43f2,6.0.0,,,,1,7180009 Meningitis (1941 codes),0,,0,,1941,0,1941,1941,match
Meningococcal disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/fbe4579f-9897-4f13-8734-b17243996c8c,6.0.0,complete,,2026-02-24T00:00:00-07:00,1,23511006 Meningococcal disease (1082 codes),5,Meningococcal Disease Additional Context Clinical Lab Result Codes (28 codes) | Meningococcal disease Additional Context Symptom Codes (2197 codes) | Meningococcal disease Additional Context Immunization Codes (115 codes) | Meningococcal Disease Additional Context Diagnosis Codes (9963 codes) | Meningococcal disease Additional Context Medication Codes (6970 codes),0,,1082,19219,20266,20266,match
Mercury Exposure and Toxicity,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/7db57e09-ce52-4025-bc42-109a326f0346,6.0.0,,,,1,767299002 Mercury Exposure and Toxicity (136 codes),0,,0,,136,0,136,136,match
Methemoglobinemia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/75c6c468-a9ee-4300-ae19-45e1cc362077,6.0.0,,,,1,38959009 Methemoglobinemia (44 codes),0,,0,,44,0,44,44,match
Microphthalmia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/bc7a0f41-a743-409f-86a8-e7d92db10f1f,6.0.0,,,,1,61142002 Microphthalmia (34 codes),0,,0,,34,0,34,34,match
Microtia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/a84c8bdd-0f87-4be1-8319-cb9dc88b90a2,6.0.0,,,,1,35045004 Microtia (12 codes),0,,0,,12,0,12,12,match
Middle East Respiratory Syndrome (MERS),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/3255f60e-59d6-4f89-846b-40e7e811c6bc,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,651000146102 Middle East Respiratory Syndrome (MERS) (381 codes),4,Middle East Respiratory Syndrome (MERS) Additional Context Specimen Source Codes (3 codes) | Middle East Respiratory Syndrome (MERS) Additional Context Medication Codes (619 codes) | Middle East Respiratory Syndrome (MERS) Additional Context Diagnosis Codes (27 codes) | Middle East Respiratory Syndrome (MERS) Additional Context Symptom Codes (122 codes),0,,381,771,1152,1152,match
Motor Vehicle Injury,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/fb880669-25f6-4f9d-a7c9-08ab3a5ecad4,6.0.0,,,,1,407153006 Motor Vehicle Injury (1428 codes),0,,0,,1428,0,1428,1428,match
Mpox,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e305988b-5ca1-418d-9886-4ac38c16737d,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,359814004 Mpox (874 codes),4,Mpox Additional Context Immunization Codes (24 codes) | Mpox Additional Context Medication Codes (72 codes) | Mpox Additional Context Diagnosis Codes (1 codes) | Mpox Additional Context Symptom Codes (36 codes),0,,874,133,1007,1007,match
Mumps,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/7f368057-a920-4ce7-926d-c361e866d4d1,6.0.0,complete,,2026-02-24T00:00:00-07:00,1,36989005 Mumps (1210 codes),5,Mumps Additional Context Diagnosis Codes (767 codes) | Mumps Additional Context Medication Codes (47 codes) | Mumps Additional Context Symptom Codes (1315 codes) | Mumps Additional Context Clinical Lab Result Codes (74 codes) | Mumps Additional Context Immunization Codes (49 codes),0,,1210,2252,2974,2974,match
Naegleria fowleri Primary Amebic Meningoencephalitis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ea403ba3-8124-48d4-9d53-58425245c98a,6.0.0,,,,1,428175000 Naegleria fowleri Primary Amebic Meningoencephalitis (1210 codes),0,,0,,1210,0,1210,1210,match
Neonatal Abstinence Syndrome,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/a8cac85b-4297-4633-a9a0-f265e0b9acc5,6.0.0,,,,1,414819007 Neonatal Abstinence Syndrome (4088 codes),0,,0,,4088,0,4088,4088,match
Nipah Virus Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/b2fcfe3c-ae60-46e8-aec2-c86a06ae4b08,6.0.0,,,,1,406597005 Nipah Virus Infection (39 codes),0,,0,,39,0,39,39,match
Non-Polio Enterovirus Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/daadfe59-aac8-4130-b57c-7d5de061fab9,6.0.0,,,,1,53648006 Non-Polio Enterovirus Infection (826 codes),0,,0,,826,0,826,826,match
Non-Streptococcal Toxic Shock Syndrome,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/acda4439-873e-409c-9432-2a133001b34b,6.0.0,,,,1,18504008 Non-Streptococcal Toxic Shock Syndrome (7 codes),0,,0,,7,0,7,7,match
Non-pestis Yersiniosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/de6effca-c314-499d-9554-171d1241051e,6.0.0,,,,1,83436008 Non-pestis Yersiniosis (809 codes),0,,0,,809,0,809,809,match
Nongonococcal Urethritis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/cc179b10-e347-4aff-8b42-6c6666e0ff50,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,84619001 Nongonococcal Urethritis (140 codes),1,Nongonococcal Urethritis Additional Context Medication Codes (253 codes),0,,140,253,393,393,match
"Nontuberculous Mycobacteria Infection, Extrapulmonary",https://tes.tools.aimsplatform.org/api/fhir/ValueSet/06e6a340-e274-490d-a937-97c1553a8572,6.0.0,,,,1,"111811007 Nontuberculous Mycobacteria Infection, Extrapulmonary (1485 codes)",0,,0,,1485,0,1485,1485,match
"Nontuberculous Mycobacteria Infection, Pulmonary",https://tes.tools.aimsplatform.org/api/fhir/ValueSet/6a27d878-2981-4bfa-b210-619774127802,6.0.0,,,,1,"1731000119106 Nontuberculous Mycobacteria Infection, Pulmonary (822 codes)",0,,0,,822,0,822,822,match
Norovirus Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/b460f7ca-c55a-4b50-9c74-8024a337a32d,6.0.0,partial,Not all relevant nested Additional Context Groupers have complete coverage,,1,721763002 Norovirus infection (312 codes),2,Norovirus Infection Additional Context Symptom Codes (5 codes) | Norovirus Infection Additional Context Specimen Source Codes (1 codes),0,,312,6,318,318,match
Omphalocele,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0af48f9d-ce12-4e1f-b378-975fd84a226a,6.0.0,,,,1,18735004 Omphalocele (13 codes),0,,0,,13,0,13,13,match
Ophthalmia Neonatorum,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9a84f893-eb81-4ac3-b00a-ef3ef928ed85,6.0.0,,,,1,34298002 Ophthalmia Neonatorum (80 codes),0,,0,,80,0,80,80,match
Opioid Overdose and Poisoning,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d8b7282f-b9f0-4666-b4a5-109684c40342,6.0.0,,,,1,242253008 Opioid Overdose and Poisoning (1250 codes),0,,0,,1250,0,1250,1250,match
Oropouche Virus Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/f4810fd6-44e6-46aa-80ad-270879454279,6.0.0,,,,1,72880002 Oropouche Virus Disease (1984 codes),0,,0,,1984,0,1984,1984,match
